seed,baseline,greedy,NC,NCPBRS,WC,WC_minus_NC,WC_minus_NCPBRS
0,0.097902,0.408426,0.493926,0.466879,0.80347,0.309544,0.33659
1,0.099195,0.270378,0.485467,0.207946,0.810955,0.325489,0.603009
2,0.093801,0.236494,0.493985,0.502221,0.811404,0.317419,0.309183
3,0.088745,0.319199,0.492403,0.500901,0.796694,0.304291,0.295793
4,0.092916,0.310146,0.523997,0.515298,0.807672,0.283675,0.292374
5,0.094185,0.313085,0.493579,0.534458,0.798059,0.304479,0.2636
6,0.090319,0.336888,0.528602,0.531165,0.797482,0.26888,0.266317
7,0.095963,0.371526,0.456324,0.479835,0.796898,0.340575,0.317063
8,0.094531,0.289287,0.523202,0.530743,0.801676,0.278474,0.270933
9,0.089867,0.313093,0.458093,0.51675,0.804682,0.346588,0.287931
