agent,seed,micro,macro,dataset,N,K,corr_threshold,train_iters,eval_iters,minutes,peak_rss_mb,family,notebook_md5,torch,finished,smoke
NCPBRS,0,0.46687949716308885,0.29467433979153684,movielens,5000,10,0.6,20000,10000,266.0,1732,single_edge_persistent_v1,69234f3d8b4001d9bd1d763bbff44849,2.5.1+cu121,2026-09-17 01:46:59,False
NCPBRS,1,0.20794642410915087,0.1612833887366579,movielens,5000,10,0.6,20000,10000,264.3,1733,single_edge_persistent_v1,69234f3d8b4001d9bd1d763bbff44849,2.5.1+cu121,2026-09-17 01:46:08,False
NCPBRS,2,0.5022209910863565,0.3180731185189317,movielens,5000,10,0.6,20000,10000,279.7,1739,single_edge_persistent_v1,69234f3d8b4001d9bd1d763bbff44849,2.5.1+cu121,2026-09-17 08:18:57,False
NCPBRS,3,0.5009006222027074,0.32126370410841126,movielens,5000,10,0.6,20000,10000,281.0,1730,single_edge_persistent_v1,69234f3d8b4001d9bd1d763bbff44849,2.5.1+cu121,2026-09-17 08:21:02,False
NCPBRS,4,0.5152978422726796,0.33185780989251035,movielens,5000,10,0.6,20000,10000,279.0,1914,single_edge_persistent_v1,69234f3d8b4001d9bd1d763bbff44849,2.5.1+cu121,2026-09-17 08:19:49,False
NCPBRS,5,0.534458328601968,0.34116774188858356,movielens,5000,10,0.6,20000,10000,273.0,1842,single_edge_persistent_v1,69234f3d8b4001d9bd1d763bbff44849,2.5.1+cu121,2026-09-17 12:52:03,False
NCPBRS,6,0.5311647271268057,0.33991184188106766,movielens,5000,10,0.6,20000,10000,278.0,1718,single_edge_persistent_v1,69234f3d8b4001d9bd1d763bbff44849,2.5.1+cu121,2026-09-17 12:57:58,False
NCPBRS,7,0.47983492401383665,0.29934304073227896,movielens,5000,10,0.6,20000,10000,277.7,1824,single_edge_persistent_v1,69234f3d8b4001d9bd1d763bbff44849,2.5.1+cu121,2026-09-17 12:58:55,False
NCPBRS,8,0.5307430572929698,0.3382769090897135,movielens,5000,10,0.6,20000,10000,290.1,1731,single_edge_persistent_v1,69234f3d8b4001d9bd1d763bbff44849,2.5.1+cu121,2026-09-17 17:42:13,False
NCPBRS,9,0.5167501039834428,0.32792180496115136,movielens,5000,10,0.6,20000,10000,289.4,1729,single_edge_persistent_v1,69234f3d8b4001d9bd1d763bbff44849,2.5.1+cu121,2026-09-17 17:47:29,False
WC,7,0.7968982985324905,0.5885360969643727,movielens,5000,10,0.6,20000,10000,359.3,1715,single_edge_persistent_v1,69234f3d8b4001d9bd1d763bbff44849,2.5.1+cu121,2026-09-17 18:58:17,False
