seed,NCPBRS_micro,NCPBRS_macro,WC_micro,WC_source,WC_shipped_micro,NC_micro,delta_WC_minus_NCPBRS,delta_NCPBRS_minus_NC,NCPBRS_minutes,NCPBRS_peak_rss_mb
0,0.46687949716308885,0.29467433979153684,0.8034699327197052,shipped,0.8034699327197052,0.49392587730421333,0.3365904355566164,-0.027046380141124482,266.0,1732
1,0.20794642410915087,0.1612833887366579,0.8109550702184017,shipped,0.8109550702184017,0.48546654005697437,0.6030086461092509,-0.2775201159478235,264.3,1733
2,0.5022209910863565,0.3180731185189317,0.8114037257249137,shipped,0.8114037257249137,0.49398502191311916,0.30918273463855717,0.008235969173237379,279.7,1739
3,0.5009006222027074,0.32126370410841126,0.79669389323261,shipped,0.79669389323261,0.49240333903810557,0.2957932710299026,0.008497283164601799,281.0,1730
4,0.5152978422726796,0.33185780989251035,0.8076721412984316,shipped,0.8076721412984316,0.523996664286392,0.29237429902575196,-0.008698822013712415,279.0,1914
5,0.534458328601968,0.34116774188858356,0.7980587413416013,shipped,0.7980587413416013,0.4935793314210389,0.2636004127396333,0.04087899718092908,273.0,1842
6,0.5311647271268057,0.33991184188106766,0.7974819422150883,shipped,0.7974819422150883,0.5286015248796148,0.26631721508828254,0.0025632022471909766,278.0,1718
7,0.47983492401383665,0.29934304073227896,0.7968982985324905,shipped,0.7968982985324905,0.4563236453276166,0.31706337451865385,0.02351127868622005,277.7,1824
8,0.5307430572929698,0.3382769090897135,0.8016762571928947,shipped,0.8016762571928947,0.523202401801351,0.2709331998999249,0.007540655491618753,290.1,1731
9,0.5167501039834428,0.32792180496115136,0.8046815099899274,shipped,0.8046815099899274,0.4580934197272878,0.2879314060064846,0.058656684256155,289.4,1729
